Passo180: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532531.5028715
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo181: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532534.200722
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo182: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532536.1432436
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo183: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532536.4354725
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo184: [False, False, True, True, True] | Valor do passo: 7 | timestamp: 1745532536.556548
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo185: [False, False, False, True, True] | Valor do passo: 3 | timestamp: 1745532539.6276748
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo186: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532539.6316733
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo187: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532539.8575637
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo188: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532543.5544434
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo189: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532544.2609744
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo190: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532544.2779777
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo191: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532549.3098643
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
